m,k_LDA,refinement_score,id
K1,1,7.890070487459696e-5,1
K2,1,8.991009950160044e-5,1
K2,2,6.419420987813968e-5,1
K3,1,1.5012613266918325e-4,1
K3,2,1.404760053681998e-4,1
K3,3,1.1686224873928998e-4,1
K4,1,3.593905069434015e-4,1
K4,2,2.0420383257279762e-4,1
K4,3,2.269628830525968e-4,1
K4,4,4.811119267125184e-4,1
K5,1,0.0011811444674516567,1
K5,2,5.885285668970663e-4,1
K5,3,0.001148091651391101,1
K5,4,0.001077701003088514,1
K5,5,7.650463786529639e-4,1
K6,1,0.0015136744337948943,1
K6,2,0.004297478345621371,1
K6,3,0.002683414133605604,1
K6,4,0.004289751012867769,1
K6,5,0.0014702343572808591,1
K6,6,0.003988710675382983,1
K7,1,0.002417984509531026,1
K7,2,0.017165122652384148,1
K7,3,0.007368004207639788,1
K7,4,0.014830925196164272,1
K7,5,0.015185573247610072,1
K7,6,0.009425097845708025,1
K7,7,0.010073121577504502,1
K8,1,0.05828162470572751,1
K8,2,0.01929314802572331,1
K8,3,0.022394912261096786,1
K8,4,0.032183312042621336,1
K8,5,0.05599890563121209,1
K8,6,0.0074493640925824625,1
K8,7,0.06653700600972198,1
K8,8,0.0736196746240816,1
K9,1,0.2869998066145844,1
K9,2,0.24411073488470983,1
K9,3,0.030432746511575567,1
K9,4,0.26303028855714267,1
K9,5,0.05915140061230167,1
K9,6,0.0679696777547086,1
K9,7,0.27815477086832074,1
K9,8,0.21091329020237168,1
K9,9,0.020182002023300078,1
